
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00340";="-0.00314";="-0.00326";="-0.00340"
="";="(-0.59)";="(-0.55)";="(-0.57)";="(-0.60)"
="NGDP_RPCH";="0.00326";="0.00124";="-0.00236";="-0.000537"
="";="(0.15)";="(0.06)";="(-0.11)";="(-0.02)"
="ExtDebtPercGNI_Var";="-0.00372";="-0.00354";="-0.00386";="-0.00378"
="";="(-1.15)";="(-1.10)";="(-1.20)";="(-1.17)"
="BudgetBal_NGDP_Var";="0.0000387";="0.0000380";="0.0000448";="0.0000397"
="";="(0.80)";="(0.76)";="(0.90)";="(0.80)"
="PCPIPCH";="-0.00973";="-0.0101";="-0.0109";="-0.00954"
="";="(-1.37)";="(-1.39)";="(-1.42)";="(-1.34)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.189";="";="";=""
="";="(0.97)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.284";="";=""
="";="";="(1.43)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.361";=""
="";="";="";="(1.54)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.299"
="";="";="";="";="(1.04)"
="Const";="-0.660***";="-0.697***";="-0.732***";="-0.736***"
="";="(-3.92)";="(-4.07)";="(-4.09)";="(-3.52)"

="lnsig2u";="";="";="";=""
="Const";="0.0953";="0.0714";="0.0439";="0.0392"
="";="(0.34)";="(0.25)";="(0.15)";="(0.13)"

="Observations";="1103";="1103";="1103";="1103"
="r2_mf";="0.00697";="0.00860";="0.00976";="0.00785"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
